RawName,SpeciesName,ScientificName,AphiaID,Family,Order,Class,TaxaGroup
Gadus macrocephalus (pcod),Gadus macrocephalus,Gadus macrocephalus,254538,Gadidae,Gadiformes,Teleostei,Fish
Gadus sp,Gadus,Gadus,125732,Gadidae,Gadiformes,Teleostei,Fish
Gadus sp.,Gadus,Gadus,125732,Gadidae,Gadiformes,Teleostei,Fish
P. cod,Gadus macrocephalus,Gadus macrocephalus,254538,Gadidae,Gadiformes,Teleostei,Fish
Pcod,Gadus macrocephalus,Gadus macrocephalus,254538,Gadidae,Gadiformes,Teleostei,Fish
pcod,Gadus macrocephalus,Gadus macrocephalus,254538,Gadidae,Gadiformes,Teleostei,Fish
P-cod,Gadus macrocephalus,Gadus macrocephalus,254538,Gadidae,Gadiformes,Teleostei,Fish
pollock,Gadus chalcogrammus,Gadus chalcogrammus,300735,Gadidae,Gadiformes,Teleostei,Fish
Pollock,Gadus chalcogrammus,Gadus chalcogrammus,300735,Gadidae,Gadiformes,Teleostei,Fish
Theragra chalcogramma,Gadus chalcogrammus,Gadus chalcogrammus,300735,Gadidae,Gadiformes,Teleostei,Fish
Unid. Gadiid,Gadus,Gadus,125732,Gadidae,Gadiformes,Teleostei,Fish
Unid. Gadoid,Gadus,Gadus,125732,Gadidae,Gadiformes,Teleostei,Fish
Berryteuthis magister,Berryteuthis magister,Berryteuthis magister,342286,Gonatidae,Oegopsida,Cephalopoda,Other
Gorgonocephalus eucnemis (basket star),Gorgonocephalus eucnemis,Gorgonocephalus eucnemis,124969,Gorgonocephalidae,Euryalida,Ophiuroidea,Other
Bigmouth sculpin,Hemitripterus bolini,Hemitripterus bolini,254541,Hemitripteridae,Perciformes,Teleostei,Fish
Hemitripterus bolini,Hemitripterus bolini,Hemitripterus bolini,254541,Hemitripteridae,Perciformes,Teleostei,Fish
Hemitripterus bolini (big mouth sculpin),Hemitripterus bolini,Hemitripterus bolini,254541,Hemitripteridae,Perciformes,Teleostei,Fish
Atka,Pleurogrammus monopterygius,Pleurogrammus monopterygius,282289,Hexagrammidae,Perciformes,Teleostei,Fish
Atka Mackeral,Pleurogrammus monopterygius,Pleurogrammus monopterygius,282289,Hexagrammidae,Perciformes,Teleostei,Fish
Atka mackerel,Pleurogrammus monopterygius,Pleurogrammus monopterygius,282289,Hexagrammidae,Perciformes,Teleostei,Fish
Atka Mackerel,Pleurogrammus monopterygius,Pleurogrammus monopterygius,282289,Hexagrammidae,Perciformes,Teleostei,Fish
Atka male,Pleurogrammus monopterygius,Pleurogrammus monopterygius,282289,Hexagrammidae,Perciformes,Teleostei,Fish
Atka unid,Pleurogrammus monopterygius,Pleurogrammus monopterygius,282289,Hexagrammidae,Perciformes,Teleostei,Fish
Greenling,Hexagrammidae,Hexagrammidae,154415,Hexagrammidae,Perciformes,Teleostei,Fish
greenling,Hexagrammidae,Hexagrammidae,154415,Hexagrammidae,Perciformes,Teleostei,Fish
Greenling sp.,Hexagrammidae,Hexagrammidae,154415,Hexagrammidae,Perciformes,Teleostei,Fish
