"species_code","ssid","raw_species","raw_common","aphiaID"
"0189577c-416a-7dae-b0a4-937b7d2dd4db","wc","Arctocephalinae","fur seal",NA
"0189577c-409a-75cf-a4c6-7346adb57f29","wc","Carettinae","",NA
"0189577c-3b79-727e-8a4a-796c775a9dc7","wc","Nyantheae","",NA
"0189577c-3b78-75be-8baf-e4d641968779","wc","Eugnathina","",NA
"0189577c-3b98-7e41-9560-402e73e2b42d","wc","Granulosina","",NA
"0189577c-3cba-7936-a6ff-1d00a933f7a0","wc","Ophiothricidae","",NA
"0189577c-3df3-7fd2-b825-3069d21b9823","wc","Ophiopthalmus","",NA
"0189577c-3f34-7841-917a-0b4478ed9c6e","wc","Ophiopthalmus normani","rosy brittle star",NA
"0189577c-3ac2-7905-9c51-ead0c38498de","wc","Apodacea","",NA
"0189577c-3adc-7899-8c7e-54bb540126d5","wc","Aspidochirotacea","",NA
"0189577c-3af1-7a3e-9121-3722321cf914","wc","Anasca","",NA
"0189577c-3b45-725c-9902-39a5384f5758","wc","Mucronellidae","",NA
"0189577c-3b56-75b7-b98c-aea1a0a3cd30","wc","Myriozoidae","",NA
"0189577c-3b6b-704c-b077-6ce537d4f315","wc","Reteporidae","",NA
"0189577c-3a86-732b-b904-1a0527bf8142","wc","empty bivalve shells","empty bivalve shells",NA
"0189577c-3a8f-775e-9400-24f7ce6484ea","wc","Pholadomyoida","",NA
"0189577c-3af1-76e3-bd6b-318745f53657","wc","Myoida","",NA
"0189577c-3af2-7e15-813c-f53090a87033","wc","Arcoida","",NA
"0189577c-3b07-7bc0-ab37-6ff6c3c5e612","wc","Limoida","",NA
"0189577c-3cae-7841-9fb8-aa7be4989ff1","wc","Myopsina","",NA
"0189577c-3d96-76af-b5c8-e51529cdc9c0","wc","Rossinae","",NA
"0189577c-3c3d-7b59-82e4-a056e17aa3b6","wc","Cirrina","",NA
"0189577c-3cda-7cd2-bf52-c9205b339a54","wc","Incirrina","",NA
"0189577c-3a87-7765-8c55-90623ac185ff","wc","empty gastropod shells","empty gastropod shells",NA
"0189577c-3a7f-7fa5-9dd5-d9fdf7dc195d","wc","Neotaenioglossa","",NA
"0189577c-3aa0-704d-92e2-1603df43895e","wc","Neomeniomorpha","",NA
"0189577c-3a9f-7afe-be3f-30546f608388","wc","Neomeniomorpha","",NA
"0189577c-3a3f-7ef0-924a-0b5ea28a6f92","wc","Protista","",NA
"0189577c-3a51-72c4-aa7b-1c2d23284b9a","wc","Granoloreticulosa","",NA
