species_code,ssid,raw_species,raw_common,aphiaID,TSN
21316,ak,Gymnocanthus galeatus,armorhead sculpin,254514,167273
21318,ak,Icelinus fimbriatus,fringed sculpin,281137,167297
21320,ak,Radulinus asprellus,slim sculpin,282541,167347
21327,ak,Clinocottus acuticeps,sharpnose sculpin,280218,167223
21328,ak,Artediellus camchaticus,Kamchatka hookear sculpin,254515,167202
21329,ak,Gymnocanthus detrisus,purplegray sculpin,274372,167272
21330,ak,Scorpaenichthys marmoratus,cabezon,282726,NA
21331,ak,Artediellus,,126147,167201
21332,ak,Artediellus miacanthus,bride sculpin,274361,167204
21333,ak,Artediellus pacificus,hookhorn sculpin,254517,167205
21334,ak,Artediellus scaber,hamecon,127194,167206
21335,ak,Artediellus uncinatus,Arctic hookear sculpin,127195,167207
21336,ak,Artediellus gomojunovi,spinyhook sculpin,254516,167203
21337,ak,Bolinia euryptera,broadfin sculpin,398458,643806
21338,ak,Malacocottus aleuticus,whitetail sculpin,279440,643735
21339,ak,Malacocottus,,254405,167303
21340,ak,Malacocottus kincaidi,blackfin sculpin,279442,167304
21341,ak,Malacocottus zonurus,darkfin sculpin,254406,167305
21342,ak,Hemilepidotus,Irish lord,248338,167276
21343,ak,Hemilepidotus gilberti,banded Irish lord,254520,167278
21344,ak,Hemilepidotus spinosus,brown Irish lord,279413,167283
21345,ak,Hemilepidotus zapus,longfin Irish lord,279414,167284
21346,ak,Hemilepidotus hemilepidotus,red Irish lord,254521,167279
21347,ak,Hemilepidotus jordani,yellow Irish lord,254522,167280
21348,ak,Hemilepidotus papilio,butterfly sculpin,254523,167281
21348,ak,Melletes papilio,butterfly sculpin,254523,167281
21349,ak,Archistes plumarius,plumed sculpin,279680,167200
21350,ak,Triglops,,126154,167368
21351,ak,Triglops nybelini,bigeye sculpin,127206,167376
21352,ak,Triglops forficatus,scissortail sculpin,254530,167369
21353,ak,Triglops metopias,highbrow sculpin,274400,167372
21354,ak,Triglops scepticus,spectacled sculpin,254531,167374
21355,ak,Triglops pingelii,ribbed sculpin,127207,644643
21356,ak,Triglops macellus,roughspine sculpin,274399,167371
21359,ak,Archistes biseriatus,scaled sculpin,279679,643765
21360,ak,Microcottus sellaris,brightbelly sculpin,254404,167310
21362,ak,Artedius fenestralis,padded sculpin,279700,167212
21363,ak,Artedius lateralis,smoothhead sculpin,279702,167214
21366,ak,Chitonotus pugetensis,roughback sculpin,280162,167380
21368,ak,Myoxocephalus scorpius,shorthorn (=warty) sculpin,127203,167318
21369,ak,Myoxocephalus niger,warthead sculpin,274392,167314
21370,ak,Myoxocephalus polyacanthocephalus,great sculpin,254528,167315
21371,ak,Myoxocephalus jaok,plain sculpin,254527,167312
21373,ak,Myoxocephalus stelleri,frog sculpin,154570,167319
21375,ak,Myoxocephalus,,126152,167311
21376,ak,Megalocottus platycephalus,belligerent sculpin,254411,167307
21377,ak,Myoxocephalus quadricornis,fourhorn sculpin,254529,167316
21378,ak,Myoxocephalus scorpioides,Arctic sculpin,127202,167317
21379,ak,Trichocottus brashnikovi,hairhead sculpin,254355,644642
21380,ak,Leptocottus armatus,Pacific staghorn sculpin,254345,167302
21383,ak,Gilbertidia sigalutes,soft sculpin,274679,167415
21383,ak,Psychrolutes sigalutes,soft sculpin,274679,167415
21384,ak,Enophrys,,154468,167266
21386,ak,Enophrys bison,buffalo sculpin,275355,167267
21387,ak,Enophrys lucasi,leister sculpin,254518,167269
21388,ak,Enophrys diceraus,antlered sculpin,154784,167268
21389,ak,Enophrys taurina,bull sculpin,275356,167270
21390,ak,Dasycottus setiger,spinyhead sculpin,280488,167265
21392,ak,Psychrolutidae,,125594,167410
21393,ak,Psychrolutes,,126169,167411
21394,ak,Psychrolutes paradoxus,tadpole sculpin,254566,167413
21395,ak,Psychrolutes phrictus,blob sculpin,274678,167414
21397,ak,Blepsias bilobus,crested sculpin,254540,167220
21398,ak,Blepsias cirrhosus,silverspotted sculpin,279417,167221
21404,ak,Nautichthys,,254400,167328
21405,ak,Nautichthys pribilovius,eyeshade sculpin,254543,167330
21406,ak,Nautichthys oculofasciatus,sailfin sculpin,254542,167329
21407,ak,Nautichthys robustus,shortmast sculpin,254401,167331
21415,ak,Rhamphocottus richardsonii,grunt sculpin,282578,644470
